no,tango,kana,en,zh,vi
0828,共鳴,きょうめい,"Resonate, sympathize",共振、共鸣；同感、共鸣,cộng hưởng / đồng tình
0829,義理,ぎり,Obligation,情理；人情、情面,đạo nghĩa / việc phải làm để giữ quan hệ
0830,気力,きりょく,Vigor,精力、气力,"năng lượng, sức sống"
0831,愚痴,ぐち,Complaint,抱怨、牢骚,sự phàn nàn
0832,苦悩,くのう,Be troubled,苦恼、烦恼,đau khổ
0833,軽蔑,けいべつ,"Despise, disdain",蔑视、轻蔑,khinh bỉ
0834,激励,げきれい,Encourage,激励,khích lệ
0835,結束,けっそく,"Band together, unite",团结,"đoàn kết, đồng lòng"
0836,決断,けつだん,Make a decision,决断、果断下定决心,quyết định
0837,謙遜,けんそん,Be modest,谦虚,tỏ ra khiêm tốn
0838,倹約,けんやく,Economize,节俭,tiết kiệm
0839,好意,こうい,Goodwill,好感,thiện cảm
0840,告白,こくはく,Confess,坦白、忏悔,thú nhận
0841,心地,ここち,"Feeling, mood",心情、感觉,"cảm giác, tâm trạng"
0842,心構え,こころがまえ,"Attitude, mental readiness",思想准备、思想觉悟,sự chuẩn bị về tinh thần
0843,志,こころざし,"Aim, ambition",志向,"ý chí, sự quyết tâm"
0844,孤児,こじ,Orphan,孤儿,trẻ mồ côi
0845,孤立,こりつ,Be isolated,孤立,bị cô lập
0846,根気,こんき,Perseverance,耐性、毅力,"sự kiên trì, sự bền chí"
0847,困惑,こんわく,Be bewildered,困惑、不知所措,bối rối
0848,再会,さいかい,Meet again,再会、重逢,gặp lại
0849,思春期,ししゅんき,Puberty,青春期,tuổi dậy thì
0850,視線,しせん,Line of sight,视线,ánh nhìn
0851,自尊心,じそんしん,"Self-esteem, self-regard",自尊心,lòng tự trọng
0852,下心,したごころ,Ulterior motive,用心、企图,ý đồ
0853,実家,じっか,Parental home,娘家、生身父母家,nhà cha mẹ ruột
0854,嫉妬,しっと,Be jealous,嫉妒,ganh tị
0855,謝罪,しゃざい,Apologize,谢罪、道歉,tạ lỗi
0856,しゅうと,,Father-in-law,公公、岳父,"cha chồng, cha vợ"
0857,しゅうとめ,,Mother-in-law,婆婆、岳母,"mẹ chồng, mẹ vợ"
0858,祝福,しゅくふく,"Bless, wish well",祝福,chúc phúc
0859,宿命,しゅくめい,Fate,宿命,số phận
0860,助言,じょげん,Advise,忠告、建议,khuyên bảo
0861,人格,じんかく,Character,人格,nhân cách
0862,親近感,しんきんかん,Sense of affinity,亲近感,cảm giác gần gũi
0863,新婚,しんこん,Newly married,新婚,mới cưới
0864,心情,しんじょう,"Feelings, state of mind",心情,nỗi lòng
0865,親族,しんぞく,Relatives,亲属,họ hàng
0866,信念,しんねん,"Belief, conviction",信念,niềm tin
0867,辛抱,しんぼう,Be patient,忍耐、含辛茹苦,"chịu đựng gian khổ, chịu khó"
0868,人脈,じんみゃく,Personal connection,人脉,sự kết nối trong nhóm người
0869,誠意,せいい,"Sincerity, good faith",诚意,thành ý
0870,成熟,せいじゅく,Mature,成熟,trưởng thành
0871,説教,せっきょう,"Lecture, scold",训诫、教诲,thuyết giáo
0872,絶望,ぜつぼう,Despair,绝望,tuyệt vọng
0873,善意,ぜんい,Good intentions,好意、善心,thiện ý
0874,知性,ちせい,Intelligence,智慧、思考能力,trí tuệ
0875,中傷,ちゅうしょう,Slander,中伤、毁谤,"vu khống, phỉ báng"
0876,同感,どうかん,Feeling the same way,同感、赞同,"đồng cảm, đồng ý"
0877,同志,どうし,Fellow,志同道合的人、同志,"người cùng chí hướng, đồng chí"
0878,どうし,,"Fellow, comrade",…们,"(theo sau danh từ, biểu thị ý có cùng quan hệ, cùng loại)"
0879,戸惑い,とまどい,Confusion,困惑、不知所措,"lạc lối, lúng túng"
0880,内心,ないしん,Heart (of hearts),内心,trong lòng
0881,憎しみ,にくしみ,Hatred,憎恶、憎恨,lòng căm ghét
0882,肉親,にくしん,Blood relation,血亲、骨肉亲,người có quan hệ ruột thịt
0883,二世,にせい,Second-generation,第二代人、二世；第二代（在日本指移居国外者的子女中已获居住国公民权的人）,đời thứ 2 / người nước ngoài gốc ~
0884,人情,にんじょう,"Humanity, empathy",人情、情义；人之常情,tình cảm / bản tính con người
0885,熱意,ねつい,Enthusiasm,热情,sự nhiệt tình
0886,パートナー,,Partner,伙伴、搭档；配偶,"cộng sự, đối tác / vợ hoặc chồng"
0887,配偶者,はいぐうしゃ,Spouse,配偶,người phối ngẫu
0888,恥,はじ,Shame,耻辱,"nỗi xấu hổ, nỗi nhục nhã"
0889,罰,ばつ,Punishment,惩罚,hình phạt
0890,晩年,ばんねん,"Late years, later life",晚年,năm tháng cuối đời
0891,反発,はんぱつ,"Resist, rebel",顶撞、反抗,chống đối
0892,悲観,ひかん,Be pessimistic,悲观,suy nghĩ bi quan
0893,人柄,ひとがら,Personality,为人、人品,tính cách
0894,侮辱,ぶじょく,Insult,侮辱,xúc phạm
0895,ふり,,"Pretense, feint",姿态、样子,sự giả vờ
0896,憤慨,ふんがい,Get angry,愤慨,"tức giận, phẫn nộ"
0897,弁護,べんご,"Defend, plead for",辩护、辩解,"biện hộ, bênh vực"
0898,真心,まごころ,Sincerity,真心、诚心,chân tình
0899,身内,みうち,Family member,亲属,thân quyến
0900,身の上,みのうえ,One's circumstances,身世、境遇,câu chuyện cuộc đời
0901,名誉,めいよ,Honor,名誉、荣誉,danh dự
0902,モチベーション,,Motivation,动力,động lực
0903,野心,やしん,Ambition,野心、雄心,tham vọng
0904,やる気,やるき,Motivation,干劲,ý muốn (làm gì đó)
0905,遺言,ゆいごん,Will,遗言,"di chúc, lời trăng trối"
0906,優越感,ゆうえつかん,Sense of superiority,优越感,cảm giác vượt trội
0907,養子,ようし,Foster child,养子,con nuôi
0908,欲望,よくぼう,Desire. appetite,欲望,lòng ham muốn
0909,理性,りせい,"Reason, sense",理性,lý trí
0910,良識,りょうしき,Good sense,正确的判断力、卓越的见识,lương tri
0911,良心,りょうしん,Conscience,良心,lương tâm
0912,劣等感,れっとうかん,Sense of inferiority,自卑感,"cảm giác yếu kém, sự tự ti"
0913,浪費,ろうひ,Waste,浪费、糟蹋,phung phí
0914,和解,わかい,"Settle, reconcile",和解,hòa giải
0915,明かり,あかり,Light (source),灯、灯火,"ánh sáng, ngọn đèn"
0916,アクセル,,Accelerator,油门,chân ga (xe hơi)
0917,脚,あし,"(Lower) leg, foot",腿,chân (bàn ghế)
0918,遺産,いさん,"Legacy, estate",遗产,gia tài
0919,衣装,いしょう,Costume,服装、戏装,trang phục
0920,一同,いちどう,"Everyone, the whole team",全体、大家,cả tập thể
0921,インターフォン,,Intercom,内线电话,máy liên lạc nội bộ
0922,器,うつわ,Receptacle,容器,"thùng, lọ chứa đồ"
0923,柄,え,Handle,柄、把手,"tay cầm, cán cầm"
0924,エキスパート,,Expert,专家,chuyên gia
0925,エリート,,Elite,精英,người ưu tú
0926,宴会,えんかい,Banquet,宴会,bữa tiệc
0927,園芸,えんげい,Gardening,园艺,nghề làm vườn
0928,帯,おび,"Belt, band",（和服的）腰带,thắt lưng (kimono)
0929,顏つき,かおつき,"Look, looks",表情；容貌,vẻ mặt / khuôn mặt
0930,各位,かくい,All concerned,各位,các vị
0931,肩書き,かたがき,Title,头衔、身份,"chức vị, danh hiệu"
0932,機器,きき,Equipment,器材、器械,"thiết bị, máy móc"
0933,儀式,ぎしき,Ceremony,仪式,nghi lễ
0934,キャラクター,,"Character, personality; fictional character",性格、人格；人物、角色,tính cách / nhân vật
0935,キャリア,,Career,经历、经验,sự nghiệp
0936,ギャンブル,,Gambling,赌博,cờ bạc
0937,きれ,,"Cloth, fabric",布、布料,mảnh vải
0938,経歴,けいれき,Career,经历,lý lịch
0939,現役,げんえき,Being still active,在职、现役,vẫn đang làm việc
0940,香辛料,こうしんりょう,Spice,香辛料,gia vị
0941,高齢,こうれい,Old age,高龄,cao tuổi
0942,故人,こじん,Deceased person,死去的人、故人,người đã khuất
0943,戸籍,こせき,Family register,户籍,hộ tịch
0944,柵,さく,Fence,围栏、栅栏,hàng rào
0945,雑貨,ざっか,Sundries,杂货、日用小商品,vật dụng gia đình
0946,作法,さほう,"Manners, etiquette",礼法,"cách ứng xử, nghi thức"
0947,残金,ざんきん,Balance,余额,"số tiền còn lại, số dư"
0948,シート,,Seat,座位,ghế ngồi
0949,式場,しきじょう,Venue for ceremony,会场、举行仪式的场所,nơi làm lễ
0950,しきたり,,Tradition,惯例、习俗,phong tục
0951,出生,しゅっしょう/しゅっせい,Be born,出生,"chào đời, ra đời"
0952,生涯,しょうがい,"Life, lifetime",终生、一生,cả đời
0953,消息,しょうそく,News,情况、音信,tin tức
0954,裾,すそ,"Hem of dress, bottom of pants",下摆,"gấu quần, gấu váy"
0955,スペシャリスト,,Specialist,专家,nhà chuyên môn
0956,生計,せいけい,"Living, livelihood",生计,kế sinh nhai
0957,姓名,せいめい,Full name,姓名,họ tên
0958,世帯,せたい,Household,家庭,hộ gia đình
0959,繊維,せんい,Fiber,纤维,sợi vải
0960,先方,せんぽう,"Counterpart, other person",对方,"đối phương, đối tác"
0961,双方,そうほう,Both people,双方,hai phía
0962,単身,たんしん,"Single, alone",单身、只身,một mình
0963,ちり,,Dust,尘埃,bụi
0964,筒,つつ,Cylinder,筒,ống
0965,適性,てきせい,Aptitude,适合做某项工作的资质或才能,"năng lực, tố chất"
0966,転居,てんきょ,"Move, relocate",迁居、搬家,chuyển nơi ở
0967,同期,どうき,Year-on-year / Same grade,同一时期；入学、进公司等的年度相同,cùng thời điểm / cùng khóa
0968,当人,とうにん,Person in question,当事人、本人,người được đề cập đến
0969,年頃,としごろ,"Age, time of life / Of marriageable age",大约……的年龄；妙龄,độ tuổi / tuổi cập kê
0970,扉,とびら,Door,门,cánh cửa
0971,刃,は,Blade,刃,lưỡi dao
0972,バッテリー,,Battery,蓄电池,ắc quy
0973,刃物,はもの,Edged tool,刀具,dao kéo
0974,ヒーロー,,Hero,英雄,người anh hùng
0975,日取り,ひどり,Date,日期,ngày tháng
0976,フィルター,,Filter,过滤装置,bộ lọc
0977,封,ふう,Seal,封、封闭,dấu niêm phong
0978,扶養,ふよう,Support,抚养,"nuôi dưỡng, phụng dưỡng"
0979,付録,ふろく,"Appendix, supplement",附录、增刊,phụ lục
0980,的,まと,Target,目标、靶子,"đích ngắm, mục tiêu"
0981,マンホール,,Manhole,窨井,lỗ cống
0982,溝,みぞ,"Groove, furrow",沟、水沟,cái mương
0983,道端,みちばた,Roadside,道旁、路边,ven đường
0984,身なり,みなり,Appearance,衣着打扮、装束,"ngoại hình, trang phục"
0985,目つき,めつき,Look in one’s eyes,眼神,ánh mắt
0986,喪服,もふく,Mourning attire,丧服,tang phục
0987,矢,や,Arrow,箭,mũi tên
0988,屋敷,やしき,"House, residence",宅邸,dinh thự
0989,やつ,,"Guy, fellow",家伙、小子,hắn
0990,ゆとり,,"Leeway, freedom from pressure",宽裕、余裕,sự sung túc
0991,弓,ゆみ,Bow,弓,cánh cung
0992,用品,ようひん,"Supplies, accessories",用品、必需的物品,vật dụng
0993,羊毛,ようもう,Wool,羊毛,len
0994,余暇,よか,"Leisure, free time",闲暇,thời gian rảnh
0995,浴室,よくしつ,Bathroom,浴室,phòng tắm
0996,来客,らいきゃく,"Visitor, guest",来客、来访的客人,khách đến nhà
0997,連中,れんちゅう,"Group of people, company",伙伴、同伙,đám người
0998,路地,ろじ,Alley,小巷、胡同,con hẻm
0999,インター（インターチェンジ）,,Interchange,高速公路出入口,nút giao thông
1000,インフレ（インフレーション）,,Inflation,通货膨胀、物价上涨,sự lạm phát
1001,運河,うんが,Canal,运河,kênh đào
1002,運送,うんそう,"Transportation, delivery",运送、搬运物品,sự chuyên chở
1003,運輸,うんゆ,Transportation,运输，运送旅客或货物,sự vận chuyển
1004,外貨,がいか,Foreign currency,外币,ngoại tệ
1005,開拓,かいたく,"Develop, cultivate",开垦、开拓,"khai khẩn, khai thác"
1006,街道,かいどう,Highway,大道、街道,"đường chính, đường lớn"
1007,家計,かけい,Household budget,家计、家庭生计,"ngân sách gia đình, việc chi tiêu gia đình"
1008,家畜,かちく,Livestock,家畜、牲畜,gia súc
1009,合併,がっぺい,Merge,企业合并,sáp nhập
1010,貨幣,かへい,"Money, currency",货币,tiền tệ
1011,幹線,かんせん,Trunk route,干线、主要线路,tuyến chính
1012,規格,きかく,Standard,规格,quy cách
1013,起業,きぎょう,Start a business,创业,khởi nghiệp
1014,基金,ききん,Fund,基金,quỹ
1015,技術革新,ぎじゅつかくしん,Technological innovation,技术革新,cải tiến kỹ thuật
1016,業者,ぎょうしゃ,Tradesman,业者,người chuyên làm một việc nào đó
1017,金銭,きんせん,Money,金钱,tiền bạc
1018,金融,きんゆう,Finance,金融,tài chính (dùng cho ngân hàng và các tổ chức tài chính)
1019,クレーン,,Crane,起重机、吊车,cần cẩu
1020,経費,けいひ,Expenses,经费、开销,chi phí
1021,経路,けいろ,Route,过程、途径,"quá trình, lộ trình"
1022,決算,けっさん,"Settlement of accounts, financial statement",决算、结算,quyết toán
1023,下落,げらく,"Fall, decline",下降,sụt giá
1024,兼業,けんぎょう,Have a side job,（从事）副业,làm cùng lúc 2 công việc
1025,原油,げんゆ,Crude oil,原油,dầu thô
1026,交易,こうえき,Engage in trading,交易、贸易,giao thương
1027,航海,こうかい,Go on a voyage,航海、航行,vượt biển
1028,鉱業,こうぎょう,Mining,矿业,công nghiệp khai khoáng
1029,鉱山,こうざん,Mine,矿山,mỏ khoáng sản
1030,控除,こうじょ,"Deduct, exempt",扣除,khấu trừ
1031,購入,こうにゅう,"Buy in, purchase",购入,"mua vào, mua"
1032,購買,こうばい,"Buy, purchase",购买,"mua, mua sắm"
1033,小売り,こうり,Retail,零售,bán lẻ
1034,採掘,さいくつ,"Mine, exploit",采掘、开采,khai thác
1035,財源,ざいげん,Financial resources,资金来源,nguồn thu (thường từ thuế)
1036,在庫,ざいこ,"Stock, inventory",库存,có trong kho
1037,採算,さいさん,Profitability,核算,khả năng sinh lời
1038,財政,ざいせい,Finances,财政,tài chính (dùng cho Nhà nước)
1039,栽培,さいばい,Cultivate,栽培、种植,trồng trọt
1040,産出,さんしゅつ,Produce,产出,sản xuất
1041,産物,さんぶつ,Product,物产,sản vật
1042,事業,じぎょう,"Business, project",事业、实业,"ngành nghề, lĩnh vực"
1043,資金,しきん,Funding,资金,số tiền (dùng cho việc gì đó)
1044,資産,しさん,Assets,资产,"của cải, tài sản"
1045,市場,しじょう,Market,市场,thị trường
1046,下取り,したどり,Trade in,折旧换新,mua lại
1047,実業家,じつぎょうか,Businessperson,实业家,doanh nhân
1048,実費,じっぴ,Actual cost,实际费用,chi phí thực
1049,市販,しはん,Market commercially,上市销售,bán ra thị trường
1050,車両,しゃりょう,"Car, rolling stock",车辆,toa tàu
1051,収益,しゅうえき,"Revenue, proceeds",收益,lợi nhuận
1052,収支,しゅうし,Income and expenditure; balance of trade,收支,thu chi
1053,十字路,じゅうじろ,Crossroads,十字路、十字路口,ngã tư
1054,出荷,しゅっか,"Ship, deliver",出货、发货,xuất hàng
1055,出資,しゅっし,"Invest, finance",出资,bỏ vốn
1056,出費,しゅっぴ,Make an outlay,花费、开销,chi ra
1057,徐行,じょこう,Go slowly,减速、慢行,"đi chậm, giảm tốc độ"
1058,振興,しんこう,"Promotion, development",振兴,"sự đẩy mạnh, sự thúc đẩy"
1059,人材,じんざい,"Human resources, talent",人才,nhân tài
1060,水産業,すいさんぎょう,Marine produce industry,水产业,công nghiệp thủy sản
1061,水田,すいでん,Paddy field,水田,ruộng lúa
1062,スポンサー,,Sponsor,赞助者、赞助商,nhà tài trợ
1063,生産高,せいさんだか,Total output,生产量、出产量、产值,"mức sản xuất, sản lượng"
1064,製鉄,せいてつ,Iron-making,炼铁、制铁,sản xuất thép
1065,船舶,せんぱく,Ship,船舶、船,tàu thuyền
1066,走行,そうこう,"Travel, run",行驶,"(tàu xe) di chuyển, chạy"
1067,操縦,そうじゅう,"Steer, handle",驾驶、操纵,"điều khiển (máy móc, tàu xe)"
1068,相場,そうば,Market price,市价、行情,giá thị trường
1069,損失,そんしつ,Loss,损失、亏,"tổn thất, thua lỗ"
1070,ターミナル,,Terminal,终点站、始发站,"bến tàu, xe"
1071,大金,たいきん,"Large sum of money, a fortune",巨款,khoản tiền lớn
1072,畜産,ちくさん,Animal husbandry,畜产,chăn nuôi
1073,貯蓄,ちょちく,"Save, deposit",储蓄,để dành
1074,賃貸,ちんたい,Rental,出租,sự cho thuê
1075,提携,ていけい,Partner with,合作,liên kết
1076,ディスカウント,,Discount,打折、减价,giảm giá
1077,鉄鋼,てっこう,"Iron and steel, steelmaking",钢铁,sắt thép
1078,デフレ（デフレーション）,,Deflation,通货紧缩,sự giảm phát
1079,店舗,てんぽ,"Store, outlet",店铺,cửa hàng
1080,投資,とうし,Invest,投资,đầu tư
1081,当社,とうしゃ,Our company,本公司,công ty chúng tôi (mang sắc thái bình thường)
1082,独占,どくせん,Monopolize,独占、垄断,độc quyền
1083,特許,とっきょ,Patent,专利权,bằng sáng chế
1084,土木,どぼく,Civil engineering,土木工程,xây dựng dân dụng
1085,富,とみ,"Wealth, riches",财富,"sự giàu có, của cải"
1086,取引,とりひき,"Trade, transact",交易、买卖,"giao dịch, buôn bán"
1087,農耕,のうこう,Farming,农耕,việc canh tác
1088,農場,のうじょう,Farm,农场,nông trường
1089,農地,のうち,Farmland,农地,đất nông nghiệp
1090,納入,のうにゅう,Make payment,缴纳,nộp phí
1091,売却,ばいきゃく,Sell (off),出售、卖掉,bán đi
1092,買収,ばいしゅう,"Buy, acquire",收购；拉拢、收买,mua vào / hối lộ
1093,破産,はさん,Go bankrupt,破产,phá sản
1094,パッケージ,,"Package, packaging",包装,bao bì
1095,伐採,ばっさい,"Log, fell timber",砍伐、采伐,phá rừng
1096,不況,ふきょう,"Recession, slowdown",不景气、萧条,sự suy thoái
1097,負債,ふさい,"Debt, liabilities",负债,món nợ
1098,不動産,ふどうさん,"Real estate, property",不动产、房地产,bất động sản
1099,返金,へんきん,Refund,还钱、退款,hoàn tiền
1100,返済,へんさい,Repay,归、偿还,trả nợ
1101,弁償,べんしょう,"Compensate, pay for damage",赔偿,bồi thường
1102,ベンチャー,,Venture,冒险、投机,việc kinh doanh mạo hiểm
1103,返品,へんぴん,Return (item),退货,trả hàng
1104,報酬,ほうしゅう,"Fee, reward",报酬,"thù lao, phần thưởng"
1105,舗装,ほそう,Pave,铺路、铺砌,lát đường
1106,民宿,みんしゅく,"Guesthouse, <i>minshuku</i>",民宿、家庭旅店,nhà nghỉ tư nhân
1107,明細,めいさい,"Itemized list, details",明细,chi tiết
1108,最寄り,もより,Nearest,最近的地方、附近,gần nhất
1109,ユーザー,,"User, customer",用户,người dùng
1110,融資,ゆうし,"Lend, finance",融资,xuất vốn cho vay
1111,遊牧民,ゆうぼくみん,Nomad,游牧民族,dân du mục
1112,養殖,ようしょく,"Cultivate, rear",养殖,nuôi trồng thủy sản
1113,酪農,らくのう,"Dairying, dairy",乳畜业,ngành chăn nuôi bò sữa
1114,利潤,りじゅん,Profit,利润、利益,lợi nhuận
1115,リゾート,,Resort,疗养地、度假地,khu nghỉ dưỡng
1116,利息,りそく,Interest,利息,lãi suất
1117,流通,りゅうつう,"Be distributed, circulate",（商品、货币等的）流通、流动,phân phối / lưu thông
1118,旅客,りょかく,Passenger,旅客、乘客,hành khách
1119,林業,りんぎょう,Forestry,林业,lâm nghiệp
1120,ルート,,Route,路线、路径,lộ trình
1121,レンタカー,,Rental car,租赁汽车,xe hơi thuê
1122,相づち,あいづち,Interjections to show attention,帮腔、附和,từ đệm (cho thấy mình đang lắng nghe đối phương)
1123,圧縮,あっしゅく,Compress,压缩,nén lại
1124,粗筋,あらすじ,"Outline, summary",故事梗概,bản tóm tắt
1125,育成,いくせい,"Foster, train",培育、培养,"nuôi dưỡng, đào tạo"
1126,イデオロギー,,Ideology,意识形态,hệ tư tưởng
1127,閲覧,えつらん,Read,阅览,"xem qua, đọc qua"
1128,オリエンテーション,,Orientation,入学教育、新员工培训,buổi định hướng
1129,オンライン,,Online,在线、联机,trực tuyến
1130,改訂,かいてい,Revise,修订,"chỉnh sửa, hiệu đính"
1131,概念,がいねん,Concept,概念,khái niệm
1132,箇条書き,かじょうがき,Itemization,一条条写、逐条写,sự viết ra theo từng mục
1133,仮説,かせつ,Hypothesis,假说,giả thuyết
1134,片言,かたこと,Halting speech,只言片语,bập bẹ
1135,課程,かてい,Course,课程,chương trình học
1136,カテゴリー,,Category,范畴、种类,thể loại
1137,記載,きさい,"State, note",记载、写,ghi vào
1138,記述,きじゅつ,"Record, describe",记述,"miêu tả, trình bày"
1139,共学,きょうがく,Coeducation,男女同校,nam nữ học chung
1140,口調,くちょう,Tone of voice,口吻、腔调,giọng điệu
1141,掲載,けいさい,"Post, place, insert",刊登、登载,"đăng lên (báo, tạp chí)"
1142,口頭,こうとう,"Oral, verbal",口头,nói miệng
1143,事柄,ことがら,Matter,事情,sự việc
1144,言づて,ことづて,Message,口信、传话,tin nhắn
1145,コメント,,"Comment, remark",评论、解说,bình luận
1146,コラム,,Column,专栏,"cột báo, góc tin tức"
1147,根拠,こんきょ,"Grounds, basis",根据、依据,căn cứ
1148,座談会,ざだんかい,"Symposium, round-table talk",座谈会,buổi tọa đàm
1149,参照,さんしょう,Refer to,参阅、参看,tham chiếu
1150,志願,しがん,Apply to / for,志愿,nguyện vọng
1151,下調べ,したしらべ,Do preparatory research,预先调查,tìm hiểu trước
1152,質疑,しつぎ,Questioning,质疑、质询,thắc mắc
1153,しつけ,,Bring up properly,教育、管教,kỷ luật
1154,執筆,しっぴつ,"Write, author",执笔、写作,viết bài
1155,習得,しゅうとく,"Learn, master",学会、掌握,"học tập, làm chủ kiến thức"
1156,修了,しゅうりょう,Finish (course),学完、修完,hoàn thành
1157,主題,しゅだい,"Main theme, subject matter",主题,chủ đề
1158,消去,しょうきょ,"Erase, delete",消去、删去,xóa bỏ
1159,初心者,しょしんしゃ,Beginner,初学者,"người mới học, người mới bắt đầu"
1160,書物,しょもつ,Book,书籍,sách
1161,進度,しんど,Rate of progress,进度,tiến độ
1162,シンポジウム,,Symposium,专题讨论会、研讨会,hội nghị chuyên đề
1163,説,せつ,Theory,说法,thuyết
1164,説得,せっとく,"Persuade, win over",说服,thuyết phục
1165,セミナー,,Seminar,研讨班,hội thảo
1166,創刊,そうかん,Launch (publication),创刊,phát hành lần đầu
1167,題材,だいざい,"Theme, material",题材,tư liệu chính
1168,対話,たいわ,Engage in dialogue,对话、交谈,đối thoại
1169,断言,だんげん,"Assert, declare",断言,"quả quyết, khẳng định"
1170,著書,ちょしょ,"Book, writings",著作,sách (do người được đề cập viết)
1171,手本,てほん,"Model, example",字帖、样板,mẫu
1172,伝達,でんたつ,"Pass on, notify",传达、转达,truyền đạt
1173,討議,とうぎ,"Discuss, debate",讨论、商议,tranh luận
1174,匿名,とくめい,Anonymous,匿名,"ẩn danh, nặc danh"
1175,トピック,,Topic,话题、论题,chủ đề
1176,ニュアンス,,Nuance,语感,sắc thái
1177,年表,ねんぴょう,Chronology,年表,niên biểu
1178,バージョン,,Version,版本,phiên bản
1179,反論,はんろん,"Object to, argue against",反论、反驳,"bác bỏ, phản bác"
1180,皮肉,ひにく,"Irony, sarcasm",挖苦、嘲讽,sự mỉa mai
1181,プレゼン（プレゼンテーション）,,"Present, give presentation",发表（策划方案）,thuyết trình
1182,文献,ぶんけん,"The literature, documents",文献,tài liệu tham khảo
1183,文書,ぶんしょ,Documents,文件,văn bản
1184,ベストセラー,,Bestseller,（最）畅销书,sách bán chạy nhất
1185,保育,ほいく,"Bring up, raise (a child)",保育,"trông giữ, chăm sóc (trẻ em)"
1186,褒美,ほうび,Reward,奖励、褒奖,"phần thưởng, giải thưởng"
1187,前置き,まえおき,Make introductory remarks,（做）开场白,lời dẫn nhập
1188,結び,むすび,"Close, conclusion",结尾、结语,lời kết
1189,メディア,,"Media, news outlet",媒体、手段,phương tiện truyền thông
1190,要旨,ようし,"Gist, summary",要点、要旨,"điểm chính, ý chính"
1191,養成,ようせい,"Train, educate",培训、培养,đào tạo
1192,論議,ろんぎ,"Discuss, debate",讨论、议论,"bàn bạc, bàn thảo"
1193,論争,ろんそう,"Dispute, argue, debate",争论,"tranh cãi, tranh luận"
1194,論理,ろんり,Logic,逻辑,lý luận
1195,あか,,Dirt (on skin),污垢,"bụi bẩn, chất bẩn"
1196,安静,あんせい,"Rest, repose",静养,sự tịnh dưỡng
1197,移植,いしょく,Transplant,（植物）移植；（组织、器官）移植,đem trồng nơi khác / cấy ghép
1198,栄養失調,えいようしっちょう,"Malnutrition, nutritional deficiency",营养不良,suy dinh dưỡng
1199,往診,おうしん,Make home (medical) visit,出诊,đến khám tại nhà
1200,お産,おさん,Childbirth,分娩、生产,việc sinh nở
1201,介抱,かいほう,"Care for, nurse",照顾、护理,chăm sóc
1202,解剖,かいぼう,Dissect,解剖,"giải phẫu, khám nghiệm tử thi"
1203,カウンセリング,,Counseling,咨询、咨询指导,tư vấn
1204,かかと,,Heel,脚后跟,gót chân
1205,カルテ,,Medical record,病历卡,bệnh án
1206,看護,かんご,Nurse,护理、看护,chăm sóc
1207,器官,きかん,Organ,器官,cơ quan (trong cơ thể)
1208,空腹,くうふく,Hunger,空腹、肚子饿,cảm giác đói
1209,後遺症,こういしょう,"Sequela, after-effect",后遗症,di chứng
1210,告知,こくち,"Inform, give notice",告知,thông báo
1211,再発,さいはつ,"Recur, have a relapse",复发,tái phát
1212,産後,さんご,"Postpartum, after childbirth",产后,hậu sản
1213,視覚,しかく,Sense of sight,视觉,thị giác
1214,人体,じんたい,Human body,人体,cơ thể người
1215,診療,しんりょう,"Treat, give medical care",诊疗、看诊,khám chữa bệnh
1216,筋,すじ,"Muscle / Plot, thread",肌肉、筋；脉络，情节,"gân / mạch truyện, cốt truyện"
1217,生死,せいし,Life and / or death,生死,sống chết
1218,体格,たいかく,Physique,体格,vóc dáng
1219,体質,たいしつ,Constitution,体质,thể trạng
1220,ダウン,,Decline / Be down,下降；病倒、患病,giảm / ngã bệnh
1221,窒息,ちっそく,Suffocate,窒息,nghẹt thở
1222,中毒,ちゅうどく,Poisoning,中毒,ngộ độc
1223,聴覚,ちょうかく,Sense of hearing,听觉,thính giác
1224,つば,,Spittle,口水、唾沫,nước bọt
1225,手遅れ,ておくれ,Too late,为时已晚,"sự muộn màng (không kịp chữa trị, xử lý)"
1226,手のひら,てのひら,Palm,手掌,lòng bàn tay
1227,胴,どう,Torso,胴体、躯干,thân mình
1228,内臓,ないぞう,Internal organs,内脏,nội tạng
1229,肉体,にくたい,Body,肉体,thể xác
1230,発育,はついく,"Develop, grow",发育,tăng trưởng
1231,発病,はつびょう,"Fall ill, show symptoms",发病、生病,phát bệnh
1232,瞳,ひとみ,(Eye) pupil,瞳、瞳孔,con ngươi
1233,負傷,ふしょう,Be injured,负伤、受伤,bị thương
1234,発作,ほっさ,"Seizure, attack",发作,sự lên cơn đột ngột
1235,膜,まく,"Membrane, film",膜,lớp màng
1236,麻酔,ますい,Anesthetize,麻醉,sự gây tê
1237,まばたき,,Blink,眨眼,chớp mắt
1238,まひ,,"Be numbed, paralyzed",失去知觉、麻痹；瘫痪,bị liệt / bị tê liệt
1239,慢性,まんせい,Chronic,慢性,mãn tính
1240,味覚,みかく,Sense of taste,味觉,vị giác
1241,免疫,めんえき,Immunity,免疫,miễn dịch
1242,病,やまい,"Disease, illness",病、疾病,bệnh
1243,リハビリ,,Have rehabilitation,康复,phục hồi chức năng
1244,リフレッシュ,,Refresh,放松、恢复精神,"làm tươi mới, sảng khoái"
1245,療養,りょうよう,Recuperate,疗养,điều trị và nghỉ dưỡng
