no,tango,kana,en,zh,vi
0990,～Ｌ／ℓ （ １ Ｌ ）,～リットル,~ liter,～升,~ l
0991,～度 （ １ 度 ）,～ど,~ degree,～度,~ độ
0992,～か月 （ １ か 月 ）,～かげつ,~ month,～个月,~ tháng
0993,～月 （ １ 月 ）,～つき,~ month,～个月,~ tháng
0994,～軒 （ １ 軒 ）,～けん,counter for houses,～家、～户,~ căn nhà
0995,～冊 （ １ 冊 ）,～さつ,counter for books,～本,~ quyển
0996,～台 （ １ 台 ）,～だい,"counter for machines, cars",～台、～张、～架,"~ chiếc xe, ~ cái máy"
0997,～匹 （ １ 匹 ）,～ひき,counter for small animals,～只、～头,~ con
0998,～倍 （ １ 倍 ）,～ばい,~ times,～倍,gấp ~ lần
0999,～番線 （ １ 番 線 ）,～ばんせん,"track number ~, platform ~",～号月台,đường ray số ~
1000,～丁目・～番／番地・～号 （ １ 丁 目 ・ １ 番 ／ １ 番 地 ・ １ 号 ）,～ちょうめ・～ばん／ばんち・～ごう,"block ~, number ~ / address, number ~",第～街道／～号门牌／第～号,"khu phố ~, nhà số ~, phòng số ~"
